Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SRR8668755	89921353.0	47416718.0	42504635.0	52.73132178071208
SRR8668756	84483855.0	58270531.0	26213324.0	68.97238649917195
SRR8668757	95110159.0	46344062.0	48766097.0	48.72672119074052
SRR8668758	30161579.0	18762070.0	11399509.0	62.20519820928473
SRR8668759	5323802.0	2560609.0	2763193.0	48.09737477088743
SRR8668769	94251532.0	63720818.0	30530714.0	67.60719602945021
SRR8668771	64436537.0	33603869.0	30832668.0	52.1503335910184
SRR8668772	68179906.0	37041302.0	31138604.0	54.32876660170227
SRR8668773	69980123.0	45774918.0	24205205.0	65.41131400983676
SRR8668774	133387934.0	78640298.0	54747636.0	58.95608069017697
fastq_subsampled | SRR8668755_10K_subsample	10000.0	5334.0	4666.0	53.339999999999996
fastq_subsampled | SRR8668756_10K_subsample	10000.0	6901.0	3099.0	69.01
fastq_subsampled | SRR8668757_10K_subsample	10000.0	4854.0	5146.0	48.54
fastq_subsampled | SRR8668758_10K_subsample	10000.0	6254.0	3746.0	62.53999999999999
fastq_subsampled | SRR8668759_10K_subsample	10000.0	4754.0	5246.0	47.54
fastq_subsampled | SRR8668769_10K_subsample	10000.0	6705.0	3295.0	67.05
fastq_subsampled | SRR8668771_10K_subsample	10000.0	5222.0	4778.0	52.22
fastq_subsampled | SRR8668772_10K_subsample	10000.0	5448.0	4552.0	54.48
fastq_subsampled | SRR8668773_10K_subsample	10000.0	6454.0	3546.0	64.53999999999999
fastq_subsampled | SRR8668774_10K_subsample	10000.0	5842.0	4158.0	58.42
