Module	Section	Sample Name	Source
Kallisto	all_sections	SRR8668774	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/CL13.log
Kallisto	all_sections	SRR8668773	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/CL12.log
Kallisto	all_sections	SRR8668771	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/CL10.log
Kallisto	all_sections	SRR8668772	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/CL11.log
Kallisto	all_sections	SRR8668757	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/HS03.log
Kallisto	all_sections	SRR8668756	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/HS02.log
Kallisto	all_sections	SRR8668755	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/HS01.log
Kallisto	all_sections	SRR8668759	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/HS05.log
Kallisto	all_sections	SRR8668769	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/CL08.log
Kallisto	all_sections	SRR8668758	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/HS04.log
Kallisto	all_sections	fastq_subsampled | SRR8668773_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668773_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668756_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668756_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668769_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668769_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668757_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668757_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668772_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668772_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668759_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668759_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668755_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668755_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668774_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668774_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668771_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668771_10K_subsample_mapped.log
Kallisto	all_sections	fastq_subsampled | SRR8668758_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668758_10K_subsample_mapped.log
FastQC	all_sections	SRR8668757	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668757_fastqc.zip
FastQC	all_sections	SRR8668771	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668771_fastqc.zip
